Radius,1.0.0,1.6.4,1.8.9,,Radius,1.9.4,1.12.2,1.13.2,1.17.1,1.20.6
1256,28820,28871,31429,,20096,357244,357380,358944,359262,359192
1264,36482,36537,39821,,20224,358687,358737,361011,360085,359979
1272,22644,22870,24819,,20352,359402,359393,359108,360168,360016
1280,16539,16267,17719,,20480,360513,360183,359547,360072,360614
1288,11078,11064,12154,,20608,360021,360044,360567,359822,359812
1296,8324,8239,9080,,20736,359430,359297,359472,359859,359443
1304,3867,3894,4137,,20864,362415,362541,360968,360736,359932
1312,2038,1992,2205,,20992,356718,356657,359610,359365,360147
1320,943,995,1036,,21120,254644,254985,282686,282868,286156
1328,230,223,201,,21248,104422,104364,77519,77141,73557
1336,2,2,3,,21376,3196,3211,637,646,619
1344,0,0,0,,21504,0,0,0,0,0
1352,0,0,0,,21632,0,0,0,0,0
1360,0,0,0,,21760,0,0,0,0,0
1368,0,0,0,,21888,0,0,0,0,0
1376,0,0,0,,22016,0,0,0,0,0
1384,0,0,0,,22144,0,0,0,0,0
1392,0,0,0,,22272,0,0,0,0,0
1400,0,0,0,,22400,0,0,0,0,0
1408,0,0,0,,22528,0,0,0,0,0
1416,0,0,0,,22656,0,0,0,0,0
1424,0,0,0,,22784,769,777,143,141,157
1432,0,0,0,,22912,26104,25990,19425,19302,18448
1440,0,0,0,,23040,63820,63703,70365,70443,71519
1448,0,0,0,,23168,89712,89815,90042,89946,89702
1456,0,0,0,,23296,90284,90299,90052,89849,90376
1464,0,0,0,,23424,89503,89544,89729,89753,89864
1472,0,0,0,,23552,89659,89893,89903,90003,89911
1480,0,0,0,,23680,89480,89481,90453,90304,90019
1488,0,0,0,,23808,90495,90056,90099,90150,90030
1496,0,0,0,,23936,90088,90336,89753,90048,89921
1504,0,0,0,,24064,89034,89134,89743,89675,89788
1512,0,0,0,,24192,64130,64119,70914,71095,71739
1520,0,0,0,,24320,26167,26087,19224,19138,18378
1528,0,0,0,,24448,755,766,155,153,148
1536,0,0,0,,24576,0,0,0,0,0
1544,0,0,0,,24704,0,0,0,0,0
1552,0,0,0,,24832,0,0,0,0,0
1560,0,0,0,,24960,0,0,0,0,0
1568,0,0,0,,25088,0,0,0,0,0
1576,0,0,0,,25216,0,0,0,0,0
1584,0,0,0,,25344,0,0,0,0,0
1592,0,0,0,,25472,0,0,0,0,0
1600,0,0,0,,25600,0,0,0,0,0
1608,0,0,0,,,,,,,
1616,0,0,0,,,,,,,
1624,0,0,0,,,,,,,
1632,0,0,0,,,,,,,
1640,0,0,0,,,,,,,
1648,0,0,0,,,,,,,
1656,0,0,0,,,,,,,
1664,0,0,0,,,,,,,
1672,0,0,0,,,,,,,
1680,0,0,0,,,,,,,
1688,0,0,0,,,,,,,
1696,0,0,0,,,,,,,
1704,0,0,0,,,,,,,
1712,0,0,0,,,,,,,
1720,0,0,0,,,,,,,
1728,0,0,0,,,,,,,
1736,0,0,0,,,,,,,
1744,0,0,0,,,,,,,
1752,0,0,0,,,,,,,
1760,0,0,0,,,,,,,
1768,0,0,0,,,,,,,
1776,0,0,0,,,,,,,
1784,0,0,0,,,,,,,
1792,0,0,0,,,,,,,
1800,0,0,0,,,,,,,
